                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.84353,                0.51051,                 1.0139,                0.85114,                0.83319,                0.92806,                0.68547,                0.83106,                  0.565,                 1.0112,              0.0090397,              0.0090397,              0.0090397
                     99,                0.83408,                0.51439,                  1.021,                0.87456,                0.85525,                0.92196,                 0.6422,                0.94677,                0.58654,                  1.055,              0.0090298,              0.0090298,              0.0090298
                    100,                0.81728,                0.49544,                 1.0028,                0.84086,                0.86287,                0.86914,                0.61203,                0.92033,                0.62237,                 1.0449,              0.0090199,              0.0090199,              0.0090199
                    101,                0.82955,                0.50889,                 1.0191,                0.86065,                0.86112,                0.93958,                0.71062,                0.86562,                0.56302,                 1.0394,                0.00901,                0.00901,                0.00901
                    102,                0.81292,                 0.4856,                 1.0001,                0.92081,                0.82369,                   0.92,                0.67665,                0.88541,                0.58314,                 1.0421,              0.0090001,              0.0090001,              0.0090001
                    103,                 0.8053,                0.48731,                 1.0044,                 0.8364,                0.87871,                0.91339,                0.65881,                0.92448,                0.57358,                 1.0591,              0.0089902,              0.0089902,              0.0089902
                    104,                0.82646,                0.49718,                 1.0203,                0.88775,                0.89006,                0.94079,                0.68835,                0.87348,                0.54006,                 1.0385,              0.0089803,              0.0089803,              0.0089803
                    105,                0.80362,                0.49508,                 1.0023,                0.81631,                0.86284,                0.88931,                 0.6414,                0.90894,                0.60644,                 1.0622,              0.0089704,              0.0089704,              0.0089704
                    106,                0.82273,                0.49333,                0.99868,                0.82785,                0.90086,                0.92524,                0.66538,                0.90574,                0.55028,                  1.073,              0.0089605,              0.0089605,              0.0089605
                    107,                0.80217,                0.48686,                0.99944,                0.88865,                0.85078,                0.90674,                0.66701,                0.87456,                0.56812,                 1.0403,              0.0089506,              0.0089506,              0.0089506
                    108,                0.80953,                0.49925,                 0.9994,                0.83206,                0.77692,                0.86362,                0.61797,                0.93002,                 0.6128,                 1.0623,              0.0089407,              0.0089407,              0.0089407
                    109,                0.80598,                0.48945,                0.99405,                 0.8763,                0.85173,                0.94078,                 0.6956,                0.84594,                0.53993,                 1.0385,              0.0089308,              0.0089308,              0.0089308
                    110,                0.81074,                0.48821,                 1.0089,                0.82492,                  0.886,                0.92834,                0.67957,                0.87257,                0.55181,                 1.0432,              0.0089209,              0.0089209,              0.0089209
                    111,                0.79294,                0.48755,                0.98995,                0.85181,                0.82616,                0.91595,                0.67228,                 0.8858,                0.58381,                 1.0459,               0.008911,               0.008911,               0.008911
